project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy
CZECH REPUBLIC BIODIVERSITY PROJECT,Europe and Central Asia,Czechia,Other,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1994.0,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
TEHRAN TRNPT EM. RED,"Middle East, North Africa, Afghanistan, and Pakist","Iran, Islamic Republic of",IBRD,,Other,Infrastructure,Transport,GEF,IPF,1994.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EMERGENCY REHAB,East Asia and Pacific,Cambodia,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,1994.0,1997.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
ENV TECHNOLOGY DEVEL,East Asia and Pacific,"Korea, Republic of",Other,,Other,Human Development,Education,IBRD,IPF,1994.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
MA-NATIONAL RURAL FINAN,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1994.0,1998.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Satisfactory,Unsatisfactory,,1999
URBAN WORKS PILOT,Eastern and Southern Africa,Madagascar,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1994.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
RISDA II (AGRICULTUR,East Asia and Pacific,Malaysia,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1994.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SOCIAL ACTION PROGRA,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,Human Development,Education,IDA,IPF,1994.0,1998.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
SOC DEV FUND,Latin America and Caribbean,Peru,IBRD,,Other,Human Development,Social Protection & Jobs,IBRD,IPF,1994.0,1997.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
Biodiversity GEF Project,Europe and Central Asia,Slovak Republic,Other,,Other,Sustainable Development,Agriculture and Food,GEF,IPF,1994.0,1998.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SAC II,Eastern and Southern Africa,Uganda,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1994.0,1996.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Technical Assistance Project,Europe and Central Asia,Albania,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1993.0,1999.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
PRIV INV & EXPT,Europe and Central Asia,Bulgaria,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1993.0,1998.0,ICRR,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,,1999
ENVIRON TA PROJ,Latin America and Caribbean,Bolivia,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,1993.0,1997.0,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SHUIKOU II,East Asia and Pacific,China,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
HRD MANAGEMENT SUPPO,Western and Central Africa,Cote d'Ivoire,Blend,,Other,Human Development,Education,IDA,IPF,1993.0,1998.0,ICRR,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,,1999
PRVT SCTR DEVT,Latin America and Caribbean,Ecuador,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1993.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,,1999
REHABILITATION,Europe and Central Asia,Estonia,Other,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1993.0,1995.0,PPAR,Satisfactory,Unsatisfactory,Unsatisfactory,Satisfactory,,1999
SAC I,Eastern and Southern Africa,Ethiopia,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1993.0,1997.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
TERTIARY EDUCATION,Western and Central Africa,Ghana,IDA,,Other,Human Development,Education,IDA,IPF,1993.0,1999.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
FLORES EARTHQUAKE RE,East Asia and Pacific,Indonesia,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1993.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PRIVATE POWER DEVT T,South Asia,India,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993.0,1997.0,PPAR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
DROUGHT RECOVERY,Eastern and Southern Africa,Kenya,Blend,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1993.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ENVIRON RESEARCH & E,East Asia and Pacific,"Korea, Republic of",Other,,Other,Human Development,Education,IBRD,IPF,1993.0,1999.0,ICRR,Highly Satisfactory,Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
Rehabilitation Project,Europe and Central Asia,Lithuania,Other,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1993.0,1996.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
REHABILITATION,Europe and Central Asia,Latvia,Other,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1993.0,1995.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
TELECOM.RESTRUCTURIN,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1993.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
LABOR MARKET & PROD.,Latin America and Caribbean,Mexico,IBRD,,Other,Human Development,Education,IBRD,IPF,1993.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
CONSTRUCTION CAPACIT,Western and Central Africa,Mauritania,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1993.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
STATE ROADS,Western and Central Africa,Nigeria,Blend,,Other,Infrastructure,Transport,IDA,IPF,1993.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SUNSARI MORANG HEADW,South Asia,Nepal,IDA,,Other,Sustainable Development,Water,IDA,IPF,1993.0,1998.0,PPAR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,1999
1992 FLOOD DAMAGE RE,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1993.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ENERGY/MINING T.A.,Latin America and Caribbean,Peru,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1993.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
TELEPHONE SYSTEM EXP,East Asia and Pacific,Philippines,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1993.0,1999.0,ICRR,Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,,1999
Transport Project,Europe and Central Asia,Romania,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1993.0,1999.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
FINAN SECT ADJUST CR,Eastern and Southern Africa,Uganda,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,1993.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Transcarpathian Biodiversity Protection GEF Project,Europe and Central Asia,Ukraine,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",GEF,IPF,1993.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Institution Building,Europe and Central Asia,Ukraine,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1993.0,1999.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
PUB ENT REFORM,Latin America and Caribbean,Uruguay,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1993.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
EDUCATION REHAB. I,Eastern and Southern Africa,Zambia,IDA,,Other,Human Development,Education,IDA,IPF,1993.0,1998.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
URBAN REHAB & MGT,Western and Central Africa,Benin,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
PRIVATE SEC IND'L CR,South Asia,Bangladesh,IDA,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,1999
SAC,Latin America and Caribbean,Bolivia,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1992.0,1996.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
Agro Export Development Program,Latin America and Caribbean,Bolivia,IBRD,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1992.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
T.A. & RHB PROJ,Latin America and Caribbean,Chile,IBRD,,Other,Human Development,"Health, Nutrition & Population",IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PSM II,Latin America and Caribbean,Chile,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1992.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
CEMENT,East Asia and Pacific,China,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1992.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
RAILWAYS V,East Asia and Pacific,China,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1992.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PRIVATIZATION P.E.,Western and Central Africa,Cabo Verde,Blend,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SAHARA DEVELOPMENT,"Middle East, North Africa, Afghanistan, and Pakist",Algeria,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1992.0,1998.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,1999
ADULT LITERACY,Western and Central Africa,Ghana,IDA,,Other,Human Development,Education,IDA,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
FEEDER ROADS,Western and Central Africa,Ghana,IDA,,Other,Infrastructure,Transport,IDA,IPF,1992.0,1998.0,PPAR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
SMSE II,Western and Central Africa,Nigeria,Blend,,Other,Other,Other,IBRD,IPF,1989.0,,EVM,Unsatisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1998
WEST BENGAL FORESTRY,South Asia,India,IBRD,,Other,Sustainable Development,"Environment, Natural Resources & the Blue Economy",IDA,IPF,1992.0,1998.0,PPAR,Moderately Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,,1999
POWER UTIL EFFIC IMP,South Asia,India,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1992.0,1998.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
VOCATIONAL SCHOOLS D,East Asia and Pacific,"Korea, Republic of",Other,,Other,Human Development,Education,IBRD,IPF,1992.0,1998.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,1999
SCIENCE ED.& LIBRARY,East Asia and Pacific,"Korea, Republic of",Other,,Other,Human Development,Education,IBRD,IPF,1992.0,1998.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
AG. SEC. INV. LOAN I,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1992.0,1994.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
FISHERIES III,South Asia,Maldives,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992.0,1998.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
HOUSING MARKET DEVEL,Latin America and Caribbean,Mexico,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SCIENCE/TECH,Latin America and Caribbean,Mexico,IBRD,,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PUBLIC WORKS & CAPAC,Western and Central Africa,Mali,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1992.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
WATER SUPPLY,Western and Central Africa,Mauritania,IDA,,Other,Sustainable Development,Water,IDA,IPF,1992.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
FELCRA III (AGRIC),East Asia and Pacific,Malaysia,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1992.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
DOMESTIC ENERGY RESO,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
ECON.REC.LN,Latin America and Caribbean,Panama,IBRD,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1992.0,1997.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
POWER TAL,Latin America and Caribbean,El Salvador,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
H'WAY IV,East Asia and Pacific,Thailand,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,1999
DISTRIB. SYST. UPGRA,East Asia and Pacific,Thailand,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1992.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
URBAN SECTOR ENG.,Eastern and Southern Africa,Tanzania,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1992.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SAC I,Eastern and Southern Africa,Uganda,IDA,,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1992.0,1995.0,PPAR,Highly Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,,1999
Agricultural Sector Investment Project,Latin America and Caribbean,"Venezuela, Republica Bolivariana de",IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1992.0,1998.0,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
PUB SCT REF T.A.,Latin America and Caribbean,Argentina,IBRD,,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1991.0,1997.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
Agricultural Services & Institutional Development Project,Latin America and Caribbean,Argentina,IBRD,,Other,Sustainable Development,Agriculture and Food,IBRD,IPF,1991.0,1999.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,,1999
NAT'L MINOR IRRIGATI,South Asia,Bangladesh,IDA,,Other,Other,Other,IDA,IPF,1991.0,,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
Agricultural Technology Development Project,Latin America and Caribbean,Bolivia,IBRD,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1991.0,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
SDA,Western and Central Africa,Central African Republic,IDA,,Other,Other,Other,IDA,IPF,1991.0,,ICRR,Highly Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,,1999
CN-KEY STUDIES DEVELOPM,East Asia and Pacific,China,IBRD,,Other,Human Development,Education,IDA,IPF,1991.0,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
MED.SIZED CITIES DEV,East Asia and Pacific,China,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
RURAL CREDIT IV,East Asia and Pacific,China,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,PPAR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
RURAL IND'L TECHNOLO,East Asia and Pacific,China,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
ROAD MAINTENANCE,Eastern and Southern Africa,Comoros,IDA,,Other,Infrastructure,Transport,IDA,IPF,1991.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
URBAN DEV.II,"Middle East, North Africa, Afghanistan, and Pakist",Djibouti,IDA,,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1991.0,1998.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
PRIMARY ED,Latin America and Caribbean,Dominican Republic,IBRD,,Other,Human Development,Education,IBRD,IPF,1991.0,1998.0,PPAR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
UNIVERSITY DEVELOPME,"Middle East, North Africa, Afghanistan, and Pakist",Algeria,IBRD,,Other,Human Development,Education,IBRD,IPF,1991.0,1998.0,ICRR,Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,1999
TRANSP REHAB II,Western and Central Africa,Ghana,IDA,,Other,Infrastructure,Transport,IDA,IPF,1991.0,1998.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
SECONDARY SCHOOLS,Western and Central Africa,Ghana,IDA,,Other,Other,Other,IDA,IPF,1991.0,,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
ENERGY,Western and Central Africa,Guinea-Bissau,IDA,,Other,Other,Other,IDA,IPF,1991.0,,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
ECON & SOC FUND,Latin America and Caribbean,Haiti,IDA,,Other,Human Development,Social Protection & Jobs,IDA,IPF,1991.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
PROV IRR AGRIC DEVT,East Asia and Pacific,Indonesia,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1991.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
INFRA DEV TA PROJ,East Asia and Pacific,Indonesia,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
FERT. RESTRUCTURING,East Asia and Pacific,Indonesia,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
MAHARASHTRA RURAL WS,South Asia,India,IBRD,,Other,Sustainable Development,Water,IDA,IPF,1991.0,1998.0,ICRR,Moderately Unsatisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,,1999
GAS FLARING REDUCTIO,South Asia,India,IBRD,,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1991.0,1998.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,,1999
PETROCHEMICALS,South Asia,India,IBRD,,Other,Other,Other,IBRD,IPF,1991.0,,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
TELECOMS. II,South Asia,Sri Lanka,IDA,,Other,Infrastructure,Transport,IDA,IPF,1991.0,1998.0,ICRR,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
POVERTY ALLEVIATION,South Asia,Sri Lanka,IDA,,Other,Other,Other,IDA,IPF,1991.0,,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
PORT  SECTOR,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,,Other,Infrastructure,Transport,IBRD,IPF,1991.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
AG SERVICES,Western and Central Africa,Mali,IDA,,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1991.0,1998.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
ENVIRON MONIT. & DEV,Eastern and Southern Africa,Mauritius,IBRD,,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1991.0,1998.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,1999
AGRIC SERVICES,Eastern and Southern Africa,Mauritius,IBRD,,Other,Sustainable Development,Water,IBRD,IPF,1991.0,1999.0,ICRR,Moderately Satisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,,1999
SCARP TRANS. II,South Asia,Pakistan,Blend,,Other,Other,Other,IDA,IPF,1991.0,,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,,1999
