project_name,wb_region,country_/_economy,country_/_economy_lending_group,country_/_economy_fcs_status,country_/_economy_fcs_lending_group,practice_group,global_practice,agreement_type,lending_instrument_type,approval_fy,final_closing_fy,evaluation_type,outcome,quality_at_entry,quality_of_supervision,bank_performance,m&e_quality,evaluation_fy,CountryCode,GDP_USD,GDP_per_capita_USD,GDP_growth_pct,Inflation_CPI_pct,Unemployment_pct,Govt_debt_pct_GDP,Current_account_pct_GDP,Population_total
HENAN AGRIC. DEVT.,East Asia and Pacific,China,IBRD,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1991,1999.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,384510452961.672,334.130288119078,9.36170212784847,,2.37,,3.45166169027996,1150780000.0
IND RESTRUC,Latin America and Caribbean,Colombia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1991,1998.0,PPAR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,COL,49637993948.8402,1499.71104164399,2.00160759559029,30.3878204854436,10.12,,4.73185923351538,33098372.0
PUB SCTR REF,Latin America and Caribbean,Colombia,IBRD,non-FCS,Other,Other,Other,IBRD,DPF,1991,,PPAR,Satisfactory,Satisfactory,Satisfactory,Highly Satisfactory,Not Evaluated,2002,COL,49637993948.8402,1499.71104164399,2.00160759559029,30.3878204854436,10.12,,4.73185923351538,33098372.0
FISHERIES DEV.,Eastern and Southern Africa,Malawi,IDA,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1991,2000.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,MWI,3206783830.41779,325.75273105931,8.73023176233838,,4.923,,-7.10041357757526,9844227.0
PHN SECTOR CREDIT,Eastern and Southern Africa,Malawi,IDA,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1991,2001.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,MWI,3206783830.41779,325.75273105931,8.73023176233838,,4.923,,-7.10041357757526,9844227.0
Heat Supply Restructuring & Conservation Project,Europe and Central Asia,Poland,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1991,2000.0,PPAR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2002,POL,85500935934.9901,2235.54108862522,-7.01557879301123,76.7694992087347,13.611,,-2.50991404542249,38246193.0
TEK RESTRUCT,Europe and Central Asia,Turkiye,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1991,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,TUR,151034731543.624,2649.27259974439,0.720279035610048,65.978567991895,8.21,32.1299111323629,0.165524841501632,57009887.0
PETROLEUM SECTOR REHABILITATION PROJECT,Eastern and Southern Africa,Tanzania,IDA,non-FCS,Other,Infrastructure,Energy & Extractives,IDA,IPF,1991,2001.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,TZA,7197768158.58347,276.452453613281,2.07198821361914,,3.6,,-10.2458135935714,26780436.0
Northeast Irrigation Project,Latin America and Caribbean,Brazil,IBRD,non-FCS,Other,Sustainable Development,Water,IBRD,IPF,1990,2001.0,ICRR,Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,BRA,384959818181.817,2581.14187449078,-4.35000000000022,2947.73277248299,,,-0.993090660229478,149143223.0
HEBEI AGRIC. DEVT.,East Asia and Pacific,China,IBRD,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1990,1998.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,CHN,361560229445.507,318.50335359039,3.9416305983694,,,,3.31811936794009,1135185000.0
NAT'L AFFORESTATION,East Asia and Pacific,China,IBRD,non-FCS,Other,Other,Other,IDA,IPF,1990,,PPAR,Satisfactory,Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2002,CHN,361560229445.507,318.50335359039,3.9416305983694,,,,3.31811936794009,1135185000.0
TRANSPORT SECTOR INVESTMENT,Latin America and Caribbean,Costa Rica,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1990,2001.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Not Evaluated,2002,CRI,5711687786.75989,1829.6687089559,3.55306336572285,19.0397526635649,,,-7.42337494326744,3121706.0
HT- FIRST HEALTH PROJECT,Latin America and Caribbean,Haiti,IDA,non-FCS,Other,Human Development,"Health, Nutrition & Population",IDA,IPF,1990,2001.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,HTI,3096289800.0,451.720249689216,1.03812280198248,,,,-0.707298134690105,6854441.0
NORTHERN REGION TRANSMISSION PROJECT,South Asia,India,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1990,2001.0,ICRR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,IND,320979026420.035,371.085936203765,5.53345456125301,8.97123250273253,,50.7832537948314,-2.19193586906134,864972221.0
UPLAND AGRIC. DEV.,East Asia and Pacific,Lao People's Democratic Republic,IDA,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1990,1998.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,,,,,,,,,
INDUSTRIAL ENTERPRISE,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,IPF,1990,2000.0,PPAR,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MOZ,,,0.999992834277037,,,,,13094537.0
ECONOMIC & FINANCE M,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Other,Other,IDA,IPF,1990,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,MOZ,,,0.999992834277037,,,,,13094537.0
SMALL AND MEDIUM-SCA,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Other,Other,IDA,IPF,1990,,PPAR,Highly Unsatisfactory,Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Not Evaluated,2002,MOZ,,,0.999992834277037,,,,,13094537.0
AGRIC. RESEARCH,Western and Central Africa,Niger,IDA,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IDA,IPF,1990,1999.0,PPAR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,NER,3512356507.88599,423.887460599302,-1.30847828481959,,,,-6.71584277283358,8286059.0
Energy Resources Develpment Project,Europe and Central Asia,Poland,IBRD,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1990,1998.0,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,POL,65977748210.5263,1731.2095094382,,567.878800666191,,,4.64853694341554,38110782.0
VE PRE-INV & INSTIT DEV,Latin America and Caribbean,"Venezuela, Republica Bolivariana de",IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,IPF,1990,2000.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2002,,,,,,,,,
Northeast Irrigation Jaiba,Latin America and Caribbean,Brazil,IBRD,non-FCS,Other,Sustainable Development,Water,IBRD,IPF,1989,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
5TH SMLL-SCLE IND,Latin America and Caribbean,Colombia,IBRD,non-FCS,Other,Other,Other,IBRD,IPF,1989,,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
PADEP I,Eastern and Southern Africa,Ethiopia,IDA,non-FCS,Other,Other,Other,IDA,IPF,1989,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
URBAN REHAB,Eastern and Southern Africa,Mozambique,IDA,non-FCS,Other,Other,Other,IDA,IPF,1989,,PPAR,Unsatisfactory,Highly Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Not Evaluated,2002,,,,,,,,,
URBAN II,Eastern and Southern Africa,Zimbabwe,Blend,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1989,2000.0,PPAR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
P.E.REFORM-TA,Western and Central Africa,"Congo, Republic of",Blend,non-FCS,Other,Other,Other,IBRD,IPF,1988,,PPAR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
SMALL RURAL OPERATIO,Western and Central Africa,Niger,IDA,non-FCS,Other,Sustainable Development,Agriculture and Food,IDA,IPF,1988,1998.0,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
PRIVATE SECTOR ENERGY DEVELOPMENT,"Middle East, North Africa, Afghanistan, and Pakist",Pakistan,Blend,non-FCS,Other,Infrastructure,Energy & Extractives,IBRD,IPF,1988,1999.0,ICRR,Unsatisfactory,Unsatisfactory,Unsatisfactory,Unsatisfactory,Not Evaluated,2002,,,,,,,,,
PRIMARY EDUC DEV,Western and Central Africa,Senegal,IDA,non-FCS,Other,Other,Other,IDA,IPF,1987,,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
PETROLEUM TECH. ASST,East Asia and Pacific,Papua New Guinea,Blend,non-FCS,Other,Other,Other,IDA,IPF,1983,,PPAR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2002,,,,,,,,,
Burkina Faso - SAC III,Western and Central Africa,Burkina Faso,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IDA,DPF,2000,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,BFA,2968370087.59759,248.908526921752,1.88847388906525,,2.679,,,11925546.0
FIN SCTR REFORM,Latin America and Caribbean,Uruguay,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,2000,2000.0,ICRR,Satisfactory,Highly Satisfactory,Not Evaluated,Highly Satisfactory,Not Evaluated,2001,URY,22823270892.1094,6987.70098766257,-1.92993063549235,,12.627,,-2.48133850696421,3266206.0
ECONOMIC MGMT REFORM,Western and Central Africa,Burkina Faso,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1999,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,BFA,3389566712.66037,292.836958697313,7.39523780111931,,2.549,,,11574928.0
Emergency Flood Recovery Project,South Asia,Bangladesh,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,IPF,1999,2000.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2001,BGD,51270569883.5275,388.095684268235,4.67015636882111,,3.087,,-0.710651968609124,132108065.0
BULGARIA AGRICULTURE SECTOR ADJUSTMENT LOAN,Europe and Central Asia,Bulgaria,IBRD,non-FCS,Other,Sustainable Development,Agriculture and Food,IBRD,DPF,1999,2001.0,PPAR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,BGR,13637098579.109,1660.9089125393,-8.39609123628522,2.57304281890205,14.1,,-4.78204293615308,8210624.0
HO HURRICANE EMERGENCY,Latin America and Caribbean,Honduras,IDA,non-FCS,IDA non-FCS,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999,2006.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,HND,6414520529.61672,1002.19633011186,-0.735651085447699,,3.85,,-3.75554180375184,6400463.0
Jordan - ERDL III,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1999,2000.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,JOR,8149929478.13822,1544.58750592979,3.38953079405088,,13.761,99.9058546631362,4.96858937749857,5276444.0
Social Sector Adjustment Credit (SOSAC),Europe and Central Asia,Kyrgyz Republic,IDA,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,DPF,1999,2000.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2001,KGZ,1249061487.01457,258.048055936976,3.655789399748,,1.743,,-14.7114078976096,4840422.0
SAL 2,East Asia and Pacific,"Korea, Republic of",Other,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1999,1999.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,,,,,,,,,
POLICY REFORM SUPPOR,"Middle East, North Africa, Afghanistan, and Pakist",Morocco,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1999,2000.0,ICRR,Moderately Unsatisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2001,MAR,46266428648.1433,1635.65673828125,1.6970614772566,,13.94,55.4449807288653,-0.360657901889275,28027179.0
Social Sectors Adjustment Loan,Europe and Central Asia,North Macedonia,IBRD,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,DPF,1999,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,MKD,3863619284.77939,1915.39281060996,4.33902791307588,,32.4,,-1.69696104187635,2017142.0
Emergency Recovery Project,Europe and Central Asia,North Macedonia,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999,2001.0,ICRR,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2001,MKD,3863619284.77939,1915.39281060996,4.33902791307588,,32.4,,-1.69696104187635,2017142.0
NI HURRICANE EMERGENCY,Latin America and Caribbean,Nicaragua,IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,IPF,1999,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,NIC,4856026259.07657,980.219744675246,7.03597046350201,,7.162,,-19.1180597152813,4954018.0
SECOND ROADS REHAB,Latin America and Caribbean,Panama,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1999,2000.0,ICRR,Not Evaluated,Satisfactory,Not Evaluated,Not Evaluated,Not Evaluated,2001,PAN,11660704800.0,3950.34145012809,5.21164584606353,,6.232,,-9.93764973794723,2951822.0
Wholesale Markets 2 Project,Europe and Central Asia,Poland,IBRD,non-FCS,Other,Infrastructure,"Urban, Resilience and Land",IBRD,IPF,1999,2003.0,ICRR,Moderately Satisfactory,Unsatisfactory,Satisfactory,Unsatisfactory,Not Evaluated,2001,POL,170704452714.673,4415.50067547826,4.69918479192557,7.15407291179862,12.29,,-7.31498200628172,38660271.0
Highway Rehabilitation & Maintenance 2 Project,Europe and Central Asia,Russian Federation,IBRD,non-FCS,Other,Infrastructure,Transport,IBRD,IPF,1999,2005.0,ICRR,Not Evaluated,Satisfactory,Not Evaluated,Not Evaluated,Not Evaluated,2001,RUS,195907128350.934,1330.75720214844,6.39991469144101,85.7464940960635,13.036,100.744137724205,11.6664565462153,147214776.0
Enterprise Development Adjustment Loan 2 (EDAL 2),Europe and Central Asia,Ukraine,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IBRD,DPF,1999,2000.0,PPAR,Satisfactory,Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2001,UKR,31580639553.8298,631.910461425781,-0.200000000106499,,11.864,60.9764493031386,5.25005200472241,49976446.0
AR P.RFM(TUCUMAN),Latin America and Caribbean,Argentina,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,1998,2000.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,ARG,298948250000.0,8218.99212764682,3.85017885156228,,12.65,,-4.84431604541959,36372860.0
AR P.RFM(SALTA),Latin America and Caribbean,Argentina,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,1998,2000.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Highly Satisfactory,Not Evaluated,2001,ARG,298948250000.0,8218.99212764682,3.85017885156228,,12.65,,-4.84431604541959,36372860.0
SAC,Europe and Central Asia,Azerbaijan,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1998,1999.0,ICRR,Moderately Unsatisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,AZE,4446368570.6901,561.906807871869,9.99999961153691,,10.0,,-30.6884366040807,7913000.0
Emergency Transport Reconstruction 2 Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1998,2000.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Not Evaluated,2001,BIH,4116774300.60671,1006.70479669823,16.6163744979847,,23.295,,-8.38303905254984,4089356.0
Education Reconstruction 2 Project,Europe and Central Asia,Bosnia and Herzegovina,IBRD,non-FCS,Other,Human Development,Education,IDA,IPF,1998,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,BIH,4116774300.60671,1006.70479669823,16.6163744979847,,23.295,,-8.38303905254984,4089356.0
ECO. REFORMS SUPPORT,Western and Central Africa,Cabo Verde,Blend,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IDA,DPF,1998,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,CPV,521910560.524868,1186.74294773086,12.5172857879884,,13.117,,-11.2111308194649,439784.0
PORT SECTOR REFORM,"Middle East, North Africa, Afghanistan, and Pakist","Egypt, Arab Republic of",IBRD,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1998,2000.0,ICRR,Not Evaluated,Unsatisfactory,Not Evaluated,Not Evaluated,Not Evaluated,2001,,,,,,,,,
Public Sector Adjustment Loan (PSAL),Europe and Central Asia,Hungary,Other,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,1998,2000.0,ICRR,Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,HUN,48784412623.5939,4751.7732430202,3.84810814449837,14.153789654534,8.925,64.0609970246077,-7.62873647734146,10266570.0
Second Uttar Pradesh Basic Education Project,South Asia,India,IBRD,non-FCS,Other,Human Development,Education,IDA,IPF,1998,2001.0,ICRR,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Not Evaluated,2001,IND,421351317224.941,413.630864056851,6.18441582172117,13.2308389767977,7.639,50.3192181735145,-1.63832533358649,1018665080.0
Public Sector Resource Management Adjustment Loan,Europe and Central Asia,Kazakhstan,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,DPF,1998,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,KAZ,22135245507.3656,1414.59289652597,-1.89999999942479,7.14632665452332,13.13,,-5.53370867105319,15647785.0
Second Structural Adjustment Loan,Europe and Central Asia,Moldova,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1998,2001.0,ICRR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,MDA,1698717504.65549,578.734627562193,-6.54219207711182,7.69576517517208,10.0,82.8327822731422,-19.703688169616,2935227.0
CONTRACT. SAVINGS II,Latin America and Caribbean,Mexico,IBRD,non-FCS,Other,Human Development,Social Protection & Jobs,IBRD,DPF,1998,1999.0,PPAR,Moderately Satisfactory,Satisfactory,Not Evaluated,Satisfactory,Not Evaluated,2001,MEX,557461102630.658,5832.69342004468,6.18507893082885,15.9283950119353,3.733,21.0082173789952,-2.8688383681894,95575245.0
Judicial Reform Project,Latin America and Caribbean,Peru,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions",Governance,IBRD,IPF,1998,2002.0,ICRR,Not Evaluated,Satisfactory,Not Evaluated,Not Evaluated,Not Evaluated,2001,PER,55501467877.381,2156.39377651613,-0.391537555833821,,5.096,,-6.01059688640089,25738095.0
Post Conflict Reconstruction Project,Europe and Central Asia,Tajikistan,IDA,non-FCS,Other,Infrastructure,Transport,IDA,IPF,1998,2001.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,TJK,1320199581.52261,213.749145581577,5.31286765940042,,4.65,,,6176397.0
RY-FINANCIAL SECTOR ADJ. CREDIT,"Middle East, North Africa, Afghanistan, and Pakist","Yemen, Republic of",IDA,non-FCS,Other,"Equitable Growth, Finance and Institutions","Finance, Competitiveness and Innovation",IDA,DPF,1998,2000.0,ICRR,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,,,,,,,,,
EMG PUB WORKS & EMPL,Europe and Central Asia,Bosnia and Herzegovina,IBRD,non-FCS,Other,Human Development,Social Protection & Jobs,IDA,IPF,1997,2000.0,ICRR,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,Not Evaluated,2001,BIH,3671909673.04401,913.813399054859,36.6411284670344,,22.378,,,4018227.0
ERDL II,"Middle East, North Africa, Afghanistan, and Pakist",Jordan,IBRD,non-FCS,Other,"Equitable Growth, Finance and Institutions","Macroeconomics, Trade and Investment",IBRD,DPF,1997,1998.0,PPAR,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,Not Evaluated,2001,JOR,7245839210.15515,1435.87593846863,3.30847538304737,,13.739,100.385416463901,0.404881941876083,5046285.0
